Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
F00,Démence de la maladie d'Alzheimer (G30.-),10 611,3 802,"15,44",6 809,509,0
F01,Démence vasculaire,9 008,2 888,"17,16",6 120,188,0
F02,Démence au cours d'autres maladies classées ailleurs,2 932,1 735,"16,18",1 197,122,0
F03,"Démence, sans précision",17 947,7 840,"14,83",10 107,990,0
F04,"Syndrome amnésique organique, non induit par l'alcool et d'autres substances psycho-actives",567,36,"17,14",531,25,0
F05,"Delirium, non induit par l'alccol et d'autres substances psycho-actives",11 250,9 845,"14,68",1 405,1 034,0
F06,"Autres troubles mentaux dus à une lésion cérébrale et un dysfonctionnement cérébral, et à une affection somatique",24 927,4 655,"11,17",20 272,1 090,0
F07,"Troubles de la personnalité et du comportement dus à une affection, une lésion et un dysfonctionnement cérébraux",3 372,2 246,"12,78",1 126,222,0
F09,"Trouble mental organique ou symptomatique, sans précision",35,1 à 10,NA,25,13,0
"",Total,80 649,33 057,"",47 592,"",0
