Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
Z041,Examen et mise en observation après un accident de transport,718,39,"2,08",679,320,0
Z042,Examen et mise en observation après un accident de travail,13,1 à 10,NA,1 à 10,1 à 10,0
Z043,Examen et mise en observation après un autre accident,312,34,"3,21",278,167,0
Z044,Examen et mise en observation après allégation de viol et de séduction,173,37,"4,24",136,59,0
Z045,Examen et mise en observation après d'autres blessures dues à une agression,209,11,"5,73",198,65,0
Z046,"Examen psychiatrique général, à la demande des autorités",17,1 à 10,NA,15,1 à 10,0
Z04800,Examen et mise en observation pour enregistrement électroencéphalographique de longue durée,10 973,5 433,"1,95",5 540,1 839,0
Z04801,Examen et mise en observation pour polysomnographie,111 112,108 217,"1,15",2 895,1 150,0
Z04802,Examen et mise en observation pour bilan préopératoire,83 658,13 529,"2,92",70 129,5 023,0
Z04880,Autres examens et mises en observation pour d'autres raisons précisées,93 024,6 133,"2,94",86 891,2 939,0
"",Total,300 211,133 438,"",166 773,"",0
