Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
S10,Lésion traumatique superficielle du cou,1 512,707,"2,31",805,76,0
S11,Plaie ouverte du cou,773,577,"3,65",196,14,0
S12,Fracture du cou,6 536,6 504,"9,00",32,16,0
S13,"Luxation, entorse et foulure des articulations et des ligaments au niveau du cou",1 590,522,"8,53",1 068,488,0
S14,Lésion traumatique des nerfs et de la moelle épinière au niveau du cou,662,573,"16,89",89,19,0
S15,Lésion traumatique des vaisseaux sanguins au niveau du cou,353,284,"6,85",69,31,0
S16,Lésion traumatique des muscles et des tendons au niveau du cou,42,38,"2,82",1 à 10,0,0
S17,Écrasement du cou,24,15,"10,73",1 à 10,1 à 10,0
S19,"Lésions traumatiques du cou, autres et sans précision",222,84,"3,24",138,63,0
"",Total,11 715,9 305,"",2 410,"",0
