Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
M660,Déchirure d'un kyste poplité,55,42,"5,43",13,0,0
M6606,Déchirure d'un kyste poplité - Jambe,89,70,"6,41",19,0,0
M6624,Déchirure spontanée des tendons extenseurs - Main,96,12,"1,67",84,0,0
M6626,Déchirure spontanée des tendons extenseurs - Jambe,33,24,"5,71",1 à 10,0,0
M6627,Déchirure spontanée des tendons extenseurs - Cheville et pied,56,27,"1,63",29,0,0
M6634,Déchirure spontanée des tendons fléchisseurs - Main,44,1 à 10,NA,35,0,0
M6646,Déchirure spontanée d'autres tendons - Jambe,18,15,"6,87",1 à 10,0,0
M6647,Déchirure spontanée d'autres tendons - Cheville et pied,45,26,"2,50",19,0,0
M665,"Déchirure spontanée d'un tendon, sans précision",18,1 à 10,NA,15,0,0
M6657,"Déchirure spontanée d'un tendon, sans précision - Cheville et pied",14,1 à 10,NA,1 à 10,0,0
"",Total,535,268,"",267,"",0
