Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
M410,Scoliose idiopathique infantile,41,29,"7,24",12,1 à 10,0
M4100,Scoliose idiopathique infantile - Localisations vertébrales multiples,17,1 à 10,NA,1 à 10,1 à 10,0
M4104,Scoliose idiopathique infantile - Région dorsale,107,83,"6,61",24,1 à 10,0
M4105,Scoliose idiopathique infantile - Région dorso-lombaire,160,140,"7,06",20,1 à 10,0
M4106,Scoliose idiopathique infantile - Région lombaire,31,25,"5,00",1 à 10,0,0
M4109,Scoliose idiopathique infantile - Localisation vertébrale non précisée,13,1 à 10,NA,1 à 10,1 à 10,0
M411,Scoliose juvénile idiopathique,157,152,"5,80",1 à 10,1 à 10,0
M4110,Scoliose juvénile idiopathique - Localisations vertébrales multiples,34,33,"7,00",1 à 10,0,0
M4114,Scoliose juvénile idiopathique - Région dorsale,345,333,"6,83",12,1 à 10,0
M4115,Scoliose juvénile idiopathique - Région dorso-lombaire,482,458,"6,61",24,1 à 10,0
M4116,Scoliose juvénile idiopathique - Région lombaire,155,145,"6,99",1 à 10,1 à 10,0
M4119,Scoliose juvénile idiopathique - Localisation vertébrale non précisée,11,1 à 10,NA,1 à 10,0,0
M412,Autres scolioses idiopathiques,98,29,"8,83",69,1 à 10,0
M4124,Autres scolioses idiopathiques - Région dorsale,61,60,"6,77",1 à 10,0,0
M4125,Autres scolioses idiopathiques - Région dorso-lombaire,189,182,"7,38",1 à 10,1 à 10,0
M4126,Autres scolioses idiopathiques - Région lombaire,30,29,"8,93",1 à 10,0,0
M413,Scoliose par anomalie dorsale,19,17,"8,06",1 à 10,1 à 10,0
M4134,Scoliose par anomalie dorsale - Région dorsale,15,14,"10,36",1 à 10,1 à 10,0
M4135,Scoliose par anomalie dorsale - Région dorso-lombaire,32,30,"9,77",1 à 10,0,0
M4136,Scoliose par anomalie dorsale - Région lombaire,22,21,"9,33",1 à 10,0,0
M414,Scoliose neuromusculaire,65,60,"9,32",1 à 10,0,0
M4140,Scoliose neuromusculaire - Localisations vertébrales multiples,44,42,"11,10",1 à 10,1 à 10,0
M4144,Scoliose neuromusculaire - Région dorsale,35,34,"8,06",1 à 10,0,0
M4145,Scoliose neuromusculaire - Région dorso-lombaire,220,209,"10,54",11,1 à 10,0
M4146,Scoliose neuromusculaire - Région lombaire,65,61,"10,08",1 à 10,1 à 10,0
M4149,Scoliose neuromusculaire - Localisation vertébrale non précisée,30,28,"9,64",1 à 10,1 à 10,0
M415,Autres formes de scoliose secondaire,32,31,"5,45",1 à 10,0,0
M4150,Autres formes de scoliose secondaire - Localisations vertébrales multiples,18,16,"13,81",1 à 10,0,0
M4154,Autres formes de scoliose secondaire - Région dorsale,24,22,"9,64",1 à 10,0,0
M4155,Autres formes de scoliose secondaire - Région dorso-lombaire,112,106,"8,94",1 à 10,1 à 10,0
M4156,Autres formes de scoliose secondaire - Région lombaire,54,53,"8,64",1 à 10,0,0
M418,Autres formes de scoliose,17,14,"6,14",1 à 10,0,0
M4180,Autres formes de scoliose - Localisations vertébrales multiples,14,13,"12,38",1 à 10,0,0
M4184,Autres formes de scoliose - Région dorsale,19,15,"7,00",1 à 10,1 à 10,0
M4185,Autres formes de scoliose - Région dorso-lombaire,60,54,"8,50",1 à 10,0,0
M4186,Autres formes de scoliose - Région lombaire,83,78,"8,67",1 à 10,1 à 10,0
M4187,Autres formes de scoliose - Région lombo-sacrée,12,12,"8,83",0,0,0
M419,"Scoliose, sans précision",83,76,"7,41",1 à 10,1 à 10,0
M4190,"Scoliose, sans précision - Localisations vertébrales multiples",14,13,"11,08",1 à 10,0,0
M4194,"Scoliose, sans précision - Région dorsale",54,45,"8,11",1 à 10,1 à 10,0
M4195,"Scoliose, sans précision - Région dorso-lombaire",138,124,"8,34",14,0,0
M4196,"Scoliose, sans précision - Région lombaire",99,90,"8,29",1 à 10,0,0
M4197,"Scoliose, sans précision - Région lombo-sacrée",18,18,"8,28",0,0,0
M4199,"Scoliose, sans précision - Localisation vertébrale non précisée",31,24,"5,83",1 à 10,1 à 10,0
"",Total,3 417,3 098,"",319,"",0
