Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
S8200,Fracture fermée de la rotule,3 754,3 118,"5,85",636,385,0
S8201,Fracture ouverte de la rotule,258,244,"7,45",14,1 à 10,0
S8210,Fracture fermée de l'extrémité supérieure du tibia,8 282,6 920,"6,72",1 362,862,0
S8211,Fracture ouverte de l'extrémité supérieure du tibia,325,298,"12,20",27,1 à 10,0
S8220,Fracture fermée de la diaphyse du tibia,6 077,5 231,"4,99",846,468,0
S8221,Fracture ouverte de la diaphyse du tibia,1 462,1 408,"10,41",54,21,0
S8230,Fracture fermée de l'extrémité inférieure du tibia,4 566,3 609,"5,40",957,524,0
S8231,Fracture ouverte de l'extrémité inférieure du tibia,777,735,"12,25",42,19,0
S8240,Fracture fermée du péroné seul,1 314,765,"7,29",549,271,0
S8241,Fracture ouverte du péroné seul,53,38,"6,82",15,1 à 10,0
S8250,Fracture fermée de la malléole interne,2 698,1 998,"4,43",700,206,0
S8251,Fracture ouverte de la malléole interne,225,191,"6,92",34,1 à 10,0
S8260,Fracture fermée de la malléole externe,7 352,4 985,"4,29",2 367,534,0
S8261,Fracture ouverte de la malléole externe,225,189,"9,29",36,13,0
S8270,Fractures fermées multiples de la jambe,2 345,1 967,"5,20",378,169,0
S8271,Fractures ouvertes multiples de la jambe,395,376,"10,83",19,1 à 10,0
S8280,Fractures fermées d'autres parties de la jambe,16 942,14 518,"4,46",2 424,754,0
S8281,Fractures ouvertes d'autres parties de la jambe,1 281,1 201,"9,43",80,23,0
S8290,"Fracture fermée de la jambe, partie non précisée",382,181,"4,49",201,114,0
S8291,"Fracture ouverte de la jambe, partie non précisée",81,70,"10,77",11,1 à 10,0
"",Total,58 794,48 042,"",10 752,"",0
