Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
M240,Souris intra-articulaire,11,1 à 10,NA,1 à 10,0,0
M2402,Souris intra-articulaire - Articulation du coude,43,1 à 10,NA,38,0,0
M2411,"Autres atteintes du cartilage articulaire - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire",12,1 à 10,NA,1 à 10,0,0
M2415,Autres atteintes du cartilage articulaire - Articulations de la hanche et sacro-iliaque,35,30,"1,93",1 à 10,0,0
M2417,Autres atteintes du cartilage articulaire - Articulations de la cheville et du pied,55,16,"1,50",39,1 à 10,0
M2418,Autres atteintes du cartilage articulaire - Autres articulations,31,11,"4,27",20,1 à 10,0
M242,Lésion ligamentaire,60,16,"1,56",44,0,0
M2421,"Lésion ligamentaire - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire",86,28,"1,75",58,0,0
M2422,Lésion ligamentaire - Articulation du coude,26,1 à 10,NA,17,0,0
M2423,Lésion ligamentaire - Articulation du poignet,277,28,"1,43",249,0,0
M2424,Lésion ligamentaire - Articulations de la main,71,1 à 10,NA,66,0,0
M2427,Lésion ligamentaire - Articulations de la cheville et du pied,457,331,"0,80",126,0,0
M2428,Lésion ligamentaire - Autres articulations,142,20,"2,05",122,0,0
M243,"Luxation et subluxation pathologiques d'une articulation, non classées ailleurs",18,1 à 10,NA,13,1 à 10,0
M2431,"Luxation et subluxation pathologiques d'une articulation, non classées ailleurs - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire",135,100,"1,59",35,1 à 10,0
M2432,"Luxation et subluxation pathologiques d'une articulation, non classées ailleurs - Articulation du coude",23,19,"1,53",1 à 10,0,0
M2434,"Luxation et subluxation pathologiques d'une articulation, non classées ailleurs - Articulations de la main",50,25,"1,28",25,0,0
M2435,"Luxation et subluxation pathologiques d'une articulation, non classées ailleurs - Articulations de la hanche et sacro-iliaque",210,170,"7,40",40,17,0
M2436,"Luxation et subluxation pathologiques d'une articulation, non classées ailleurs - Articulation du genou",43,30,"6,50",13,1 à 10,0
M2437,"Luxation et subluxation pathologiques d'une articulation, non classées ailleurs - Articulations de la cheville et du pied",40,27,"3,19",13,0,0
M2438,"Luxation et subluxation pathologiques d'une articulation, non classées ailleurs - Autres articulations",20,13,"9,38",1 à 10,1 à 10,0
M244,Luxation et subluxation articulaires récidivantes,73,26,"2,73",47,1 à 10,0
M2441,"Luxation et subluxation articulaires récidivantes - Articulations acromio-claviculaire, scapulo-humérale, et sterno-claviculaire",1 709,523,"2,74",1 186,125,0
