"Code","Libellé","Nb total de séjours/séances","Nb de séjourshors GHM en J ou T et séances","DMS (en nuitée)hors GHM en J ou Tet séances","Nb de séjoursGHM en J ou T hors séances","Nb de nuitéesen GHM J ou T","Nb de séances"
"K070","Anomalies importantes de dimension des mâchoires","808","715","2,07","93","0","0"
"K071","Anomalies de rapport entre les mâchoires et la base du crâne","3 626","3 036","1,82","590","0","0"
"K072","Anomalies de rapport entre les arcades dentaires","740","361","2,01","379","0","0"
"K073","Malposition des dents","6 611","191","1,36","6 420","0","0"
"K074","Malocclusion, sans précision","129","116","1,72","13","0","0"
"K075","Anomalies dento-faciales fonctionnelles","309","256","2,17","53","0","0"
"K076","Lésions de l'articulation temporo-mandibulaire","1 098","309","2,69","789","0","0"
"K078","Autres anomalies dento-faciales","574","245","1,71","329","0","0"
"K079","Anomalie dento-faciale, sans précision","202","31","1,81","171","0","0"
"","Total","14 097","5 260","","8 837","","0"
