Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
N80,Endométriose,13 310,9 322,"2,05",3 988,575,0
N81,Prolapsus génital,12 724,10 893,"2,23",1 831,81,0
N82,Fistules de l'appareil génital de la femme,1 215,994,"9,24",221,51,0
N83,"Affections non inflammatoires de l'ovaire, de la trompe de Fallope et du ligament large",13 389,6 626,"2,12",6 763,1 565,0
N84,Polype de l'appareil génital de la femme,26 164,23 606,"0,19",2 558,30,0
N85,"Autres affections non inflammatoires de l'utérus, sauf le col",12 198,10 482,"0,40",1 716,80,0
N86,Érosion et ectropion du col de l'utérus,195,12,"0,75",183,1 à 10,0
N87,Dysplasie du col de l'utérus,17 607,1 560,"1,32",16 047,12,0
N88,Autres affections non inflammatoires du col de l'utérus,1 177,559,"0,62",618,27,0
N89,Autres affections non inflammatoires du vagin,1 484,284,"2,12",1 200,48,0
N90,Autres affections non inflammatoires de la vulve et du périnée,3 168,431,"2,05",2 737,32,0
N91,"Aménorrhée, oligoménorrhée et hypoménorrhée",385,65,"1,57",320,1 à 10,0
N92,"Ménorragie, polyménorrhée et métrorragie",8 458,4 889,"0,81",3 569,844,0
N93,Autres saignements anormaux de l'utérus et du vagin,3 913,2 491,"1,42",1 422,680,0
N94,Douleurs et autres affections des organes génitaux de la femme et du cycle menstruel,2 801,821,"2,26",1 980,659,0
N95,Troubles de la ménopause et autres troubles de la périménopause,5 737,4 843,"0,61",894,170,0
N96,Avortements à répétition,705,135,"0,03",570,1 à 10,0
N97,Stérilité de la femme,3 392,1 427,"0,24",1 965,0,0
N98,Complications de la fécondation artificielle,761,538,"4,02",223,162,0
"",Total,128 783,79 978,"",48 805,"",0
