Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
M760,Tendinite de la région fessière,255,181,"5,53",74,0,0
M7605,Tendinite de la région fessière - Région pelvienne et cuisse,373,267,"4,97",106,0,0
M761,Tendinite du psoas,74,34,"3,41",40,0,0
M7615,Tendinite du psoas - Région pelvienne et cuisse,119,72,"4,58",47,0,0
M762,Exostose de la crête iliaque,37,15,"1,07",22,0,0
M7625,Exostose de la crête iliaque - Région pelvienne et cuisse,59,32,"2,22",27,0,0
M7636,Syndrome de la bandelette de Maissiat (ilio-tibiale) - Jambe,29,1 à 10,NA,20,0,0
M765,Tendinite rotulienne,38,12,"1,50",26,0,0
M7656,Tendinite rotulienne - Jambe,109,31,"6,26",78,0,0
M766,Tendinite du tendon d'Achille,212,78,"1,90",134,0,0
M7666,Tendinite du tendon d'Achille - Jambe,38,15,"0,93",23,0,0
M7667,Tendinite du tendon d'Achille - Cheville et pied,467,172,"2,15",295,0,0
M767,Tendinite péronière,18,1 à 10,NA,12,0,0
M7676,Tendinite péronière - Jambe,55,25,"2,12",30,0,0
M768,"Autres enthésopathies du membre inférieur, sauf le pied",29,15,"4,73",14,0,0
M7685,"Autres enthésopathies du membre inférieur, sauf le pied - Région pelvienne et cuisse",52,27,"6,19",25,0,0
M7686,"Autres enthésopathies du membre inférieur, sauf le pied - Jambe",78,24,"3,88",54,0,0
M7696,"Enthésopathie du membre inférieur, sans précision - Jambe",16,1 à 10,NA,1 à 10,0,0
"",Total,2 078,1 030,"",1 048,"",0
