Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
S050,Lésion traumatique de la conjonctive et abrasion de la cornée sans mention de corps étranger,267,143,"2,49",124,0,0
S051,Contusion du globe oculaire et des tissus de l'orbite,619,574,"2,62",45,0,0
S052,Lacération et rupture oculaires avec protrusion ou perte de tissu intra-oculaire,129,108,"3,09",21,0,0
S053,Lacération oculaire (sans protrusion ou perte de tissu intra-oculaire),11,1 à 10,NA,1 à 10,0,0
S054,"Plaie pénétrante de l'orbite, avec ou sans corps étranger",103,80,"2,94",23,0,0
S055,"Plaie pénétrante du globe oculaire, avec corps étranger",387,299,"2,60",88,0,0
S056,"Plaie pénétrante du globe oculaire, (sans corps étranger)",1 087,895,"2,88",192,0,0
S057,Arrachement de l'oeil,14,1 à 10,NA,1 à 10,0,0
S058,Autres lésions traumatiques de l'oeil et de l'orbite,310,176,"2,98",134,0,0
S059,"Lésion traumatique de l'oeil et de l'orbite, non précisée",101,55,"1,73",46,0,0
"",Total,3 028,2 347,"",681,"",0
