"Code","Libellé","Nb total de séjours/séances","Nb de séjourshors GHM en J ou T et séances","DMS (en nuitée)hors GHM en J ou Tet séances","Nb de séjoursGHM en J ou T hors séances","Nb de nuitéesen GHM J ou T","Nb de séances"
"K250","Ulcère de l'estomac aigu, avec hémorragie","2 883","2 611","8,55","272","147","0"
"K251","Ulcère de l'estomac aigu, avec perforation","1 001","987","9,60","14","0","0"
"K252","Ulcère de l'estomac aigu, avec hémorragie et perforation","174","153","13,11","21","1 à 10","0"
"K253","Ulcère de l'estomac aigu, sans hémorragie ni perforation","2 316","1 138","6,46","1 178","251","0"
"K254","Ulcère de l'estomac chronique ou non précisé, avec hémorragie","816","711","7,74","105","55","0"
"K255","Ulcère de l'estomac chronique ou non précisé, avec perforation","218","210","10,22","1 à 10","0","0"
"K256","Ulcère de l'estomac chronique ou non précisé, avec hémorragie et perforation","51","35","7,23","16","1 à 10","0"
"K257","Ulcère de l'estomac chronique, sans hémorragie ni perforation","727","235","5,52","492","85","0"
"K259","Ulcère de l'estomac non précisé comme étant aigu ou chronique, sans hémorragie ni perforation","2 014","723","5,34","1 291","215","0"
"","Total","10 200","6 803","","3 397","","0"
