"Code","Libellé","Nb total de séjours/séances","Nb de séjourshors GHM en J ou T et séances","DMS (en nuitée)hors GHM en J ou Tet séances","Nb de séjoursGHM en J ou T hors séances","Nb de nuitéesen GHM J ou T","Nb de séances"
"C440","Tumeur maligne de la face cutanée de la lèvre","935","187","3,54","748","0","0"
"C441","Tumeur maligne de la peau de la paupière, y compris le canthus","3 065","591","2,24","2 474","0","0"
"C442","Tumeur maligne de la peau de l'oreille et du conduit auditif externe","4 469","603","3,79","3 866","0","0"
"C443","Tumeur maligne de la peau de la face, parties autres et non précisées","22 505","2 499","2,91","20 006","0","0"
"C444","Tumeur maligne de la peau du cuir chevelu et du cou","4 075","695","3,61","3 380","0","0"
"C445","Tumeur maligne de la peau du tronc","2 266","389","5,79","1 877","0","0"
"C446","Tumeur maligne de la peau du membre supérieur, y compris l'épaule","2 420","369","4,56","2 051","0","0"
"C447","Tumeur maligne de la peau du membre inférieur, y compris la hanche","2 362","579","6,13","1 783","0","0"
"C448","Tumeur maligne à localisations contiguës de la peau","92","31","7,23","61","0","0"
"C449","Tumeur maligne de la peau, sans précision","761","57","5,40","704","0","0"
"","Total","42 950","6 000","","36 950","","0"
