Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
D170,"Tumeur lipomateuse bénigne de la peau et du tissu sous-cutané de la tête, de la face et du cou",2 156,466,"1,66",1 690,0,0
D171,Tumeur lipomateuse bénigne de la peau et du tissu sous-cutané du tronc,4 254,548,"1,87",3 706,0,0
D172,Tumeur lipomateuse bénigne de la peau et du tissu sous-cutané des membres,4 757,658,"2,01",4 099,0,0
D173,"Tumeur lipomateuse bénigne de la peau et du tissu sous-cutané, de sièges autres et non précisés",268,44,"1,84",224,0,0
D174,Tumeur lipomateuse bénigne des organes intrathoraciques,51,27,"3,26",24,0,0
D175,Tumeur lipomateuse bénigne des organes intra-abdominaux,410,160,"4,22",250,0,0
D176,Tumeur lipomateuse bénigne du cordon spermatique,33,1 à 10,NA,28,0,0
D177,Tumeur lipomateuse bénigne d'autres sièges (interne),397,178,"3,54",219,0,0
D179,"Tumeur lipomateuse bénigne, sans précision",158,24,"1,50",134,0,0
"",Total,12 484,2 110,"",10 374,"",0
