"Code","Libellé","Nb total de séjours/séances","Nb de séjourshors GHM en J ou T et séances","DMS (en nuitée)hors GHM en J ou Tet séances","Nb de séjoursGHM en J ou T hors séances","Nb de nuitéesen GHM J ou T","Nb de séances"
"J30","Rhinite allergique et vasomotrice","680","91","2,92","589","98","0"
"J31","Rhinite, rhinopharyngite et pharyngite chroniques","2 825","1 061","2,34","1 764","479","0"
"J32","Sinusite chronique","6 291","2 485","2,25","3 806","207","0"
"J33","Polype nasal","4 975","2 084","1,59","2 891","92","0"
"J34","Autres maladies du nez et des sinus du nez","15 190","4 226","1,67","10 964","95","0"
"J35","Maladies chroniques des amygdales et des végétations adénoïdes","42 428","16 544","1,38","25 884","696","0"
"J36","Angine phlegmoneuse","11 578","11 326","2,27","252","0","0"
"J37","Laryngite et laryngo-trachéite chroniques","183","34","3,00","149","32","0"
"J38","Maladies des cordes vocales et du larynx, non classées ailleurs","7 528","2 065","8,02","5 463","1 225","0"
"J39","Autres maladies des voies respiratoires supérieures","4 579","3 111","4,83","1 468","505","0"
"","Total","96 257","43 027","","53 230","","0"
