Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
M230,Kyste du ménisque,46,1 à 10,NA,42,0,0
M2301,Kyste du ménisque - CAMI,17,1 à 10,NA,16,0,0
M2302,Kyste du ménisque - CPMI,35,1 à 10,NA,32,0,0
M2303,Kyste du ménisque - Autre partie MI,23,1 à 10,NA,22,0,0
M2304,Kyste du ménisque - CAME,33,1 à 10,NA,29,0,0
M2305,Kyste du ménisque - CPME,13,1 à 10,NA,12,0,0
M2306,Kyste du ménisque - Autre partie ME,20,1 à 10,NA,16,0,0
M2309,"Kyste du ménisque - Ménisque, sans précision",18,1 à 10,NA,16,0,0
M231,Ménisque discoïde (congénital),48,1 à 10,NA,40,0,0
M2314,Ménisque discoïde (congénital) - CAME,25,1 à 10,NA,18,0,0
M2315,Ménisque discoïde (congénital) - CPME,30,1 à 10,NA,23,0,0
M2316,Ménisque discoïde (congénital) - Autre partie ME,70,17,"1,35",53,0,0
M2319,"Ménisque discoïde (congénital) - Ménisque, sans précision",61,28,"1,79",33,0,0
M232,Lésion d'un ménisque due à une déchirure ou un traumatisme ancien,1 320,149,"1,87",1 171,1 à 10,0
M2320,Lésion d'un ménisque due à une déchirure ou un traumatisme ancien - Localisations multiples,868,69,"2,13",799,0,0
M2321,Lésion d'un ménisque due à une déchirure ou un traumatisme ancien - CAMI,437,74,"1,55",363,0,0
M2322,Lésion d'un ménisque due à une déchirure ou un traumatisme ancien - CPMI,4 853,343,"1,41",4 510,1 à 10,0
M2323,Lésion d'un ménisque due à une déchirure ou un traumatisme ancien - Autre partie MI,1 094,82,"1,49",1 012,1 à 10,0
M2324,Lésion d'un ménisque due à une déchirure ou un traumatisme ancien - CAME,267,44,"1,68",223,0,0
M2325,Lésion d'un ménisque due à une déchirure ou un traumatisme ancien - CPME,534,65,"1,60",469,1 à 10,0
M2326,Lésion d'un ménisque due à une déchirure ou un traumatisme ancien - Autre partie ME,546,57,"1,39",489,1 à 10,0
M2329,"Lésion d'un ménisque due à une déchirure ou un traumatisme ancien - Ménisque, sans précision",338,42,"2,29",296,1 à 10,0
M233,Autres atteintes du ménisque,807,67,"1,63",740,1 à 10,0
M2330,Autres atteintes du ménisque - Localisations multiples,961,55,"1,64",906,1 à 10,0
M2331,Autres atteintes du ménisque - CAMI,199,18,"1,56",181,0,0
M2332,Autres atteintes du ménisque - CPMI,2 817,163,"1,32",2 654,1 à 10,0
M2333,Autres atteintes du ménisque - Autre partie MI,1 380,90,"1,40",1 290,1 à 10,0
M2334,Autres atteintes du ménisque - CAME,177,14,"2,21",163,1 à 10,0
M2335,Autres atteintes du ménisque - CPME,258,21,"1,86",237,0,0
M2336,Autres atteintes du ménisque - Autre partie ME,425,47,"1,57",378,1 à 10,0
M2339,"Autres atteintes du ménisque - Ménisque, sans précision",479,26,"2,19",453,12,0
M234,Souris intra-articulaire du genou,227,35,"1,83",192,0,0
M235,Instabilité chronique du genou,643,253,"2,13",390,1 à 10,0
M2350,Instabilité chronique du genou - Localisations multiples,135,51,"3,12",84,0,0
M2351,Instabilité chronique du genou - LCAE,3 651,980,"1,77",2 671,1 à 10,0
M2352,Instabilité chronique du genou - LCP,69,33,"3,00",36,0,0
M2353,Instabilité chronique du genou - LIC,17,1 à 10,NA,1 à 10,0,0
M2354,Instabilité chronique du genou - LLEC,15,1 à 10,NA,1 à 10,0,0
M2357,Instabilité chronique du genou - Capsule articulaire,157,102,"1,98",55,0,0
M2359,"Instabilité chronique du genou - Ligament, sans précision",133,57,"2,86",76,0,0
M236,Autres ruptures spontanées de ligament(s) du genou,94,19,"2,32",75,1 à 10,0
M2360,Autres ruptures spontanées de ligament(s) du genou - Localisations multiples,15,1 à 10,NA,1 à 10,0,0
M2361,Autres ruptures spontanées de ligament(s) du genou - LCAE,1 653,419,"1,91",1 234,1 à 10,0
M2362,Autres ruptures spontanées de ligament(s) du genou - LCP,33,18,"5,78",15,0,0
M2369,"Autres ruptures spontanées de ligament(s) du genou - Ligament, sans précision",56,23,"3,00",33,1 à 10,0
M238,Autres lésions internes du genou,248,49,"2,53",199,1 à 10,0
M2380,Autres lésions internes du genou - Localisations multiples,61,16,"2,44",45,1 à 10,0
M2381,Autres lésions internes du genou - LCAE,689,109,"1,50",580,0,0
M2382,Autres lésions internes du genou - LCP,33,1 à 10,NA,23,0,0
M2383,Autres lésions internes du genou - LIC,26,1 à 10,NA,17,0,0
M2387,Autres lésions internes du genou - Capsule articulaire,34,1 à 10,NA,25,0,0
M2389,"Autres lésions internes du genou - Ligament, sans précision/Ménisque, sans précision",125,22,"3,45",103,1 à 10,0
M239,"Lésion interne du genou, sans précision",16,1 à 10,NA,15,1 à 10,0
M2391,"Lésion interne du genou, sans précision - LCAE/CAMI",24,11,"2,36",13,1 à 10,0
M2392,"Lésion interne du genou, sans précision - LCP/CPMI",37,1 à 10,NA,34,0,0
M2399,"Lésion interne du genou, sans précision - Ligament, sans précision/Ménisque, sans précision",34,1 à 10,NA,28,1 à 10,0
"",Total,26 475,3 785,"",22 690,"",0
