Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
O320,Soins maternels pour position instable,123,104,"4,37",19,0,0
O321,Soins maternels pour présentation du siège,9 709,8 040,"4,94",1 669,1 à 10,0
O322,Soins maternels pour position transverse et oblique,769,675,"5,25",94,0,0
O323,"Soins maternels pour présentation de la face, du front et du menton",120,120,"4,93",0,0,0
O324,Soins maternels pour tête haute à terme,498,497,"5,53",1 à 10,1 à 10,0
O325,Soins maternels pour grossesse multiple avec présentation anormale d'un ou plusieurs foetus,203,201,"7,72",1 à 10,0,0
O326,Soins maternels pour présentation complexe,75,61,"5,00",14,1 à 10,0
O328,Soins maternels pour d'autres présentations anormales du foetus,139,112,"4,74",27,0,0
O329,"Soins maternels pour présentation anormale du foetus, sans précision",18,15,"5,40",1 à 10,0,0
"",Total,11 654,9 825,"",1 829,"",0
