"Code","Libellé","Nb total de séjours/séances","Nb de séjourshors GHM en J ou T et séances","DMS (en nuitée)hors GHM en J ou Tet séances","Nb de séjoursGHM en J ou T hors séances","Nb de nuitéesen GHM J ou T","Nb de séances"
"S70","Lésion traumatique superficielle de la hanche et de la cuisse","7 357","5 683","5,20","1 674","0","0"
"S71","Plaie ouverte de la hanche et de la cuisse","1 443","1 029","3,05","414","0","0"
"S72","Fracture du fémur","105 212","95 682","9,52","9 530","5 416","0"
"S73","Luxation, entorse et foulure de l'articulation et des ligaments de la hanche","1 644","941","8,01","703","455","0"
"S74","Lésion traumatique de nerfs au niveau de la hanche et de la cuisse","47","31","6,87","16","1 à 10","0"
"S75","Lésion traumatique de vaisseaux sanguins au niveau de la hanche et de la cuisse","792","611","10,66","181","103","0"
"S76","Lésion traumatique de muscles et de tendons au niveau de la hanche et de la cuisse","2 200","1 739","5,29","461","145","0"
"S77","Écrasement de la hanche et de la cuisse","19","1 à 10","NA","1 à 10","1 à 10","0"
"S79","Lésions traumatiques de la hanche et de la cuisse, autres et sans précision","237","123","8,44","114","57","0"
"","Total","118 959","105 854","","13 105","","0"
