Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
F60,Troubles spécifiques de la personnalité,5 759,2 498,"9,11",3 261,2 104,0
F61,Troubles mixtes de la personnalité et autres troubles de la personnalité,47,23,"12,78",24,1 à 10,0
F62,Modification durable de la personnalité non attribuable à une lésion et une maladie cérébrales,21,1 à 10,NA,13,1 à 10,0
F63,Troubles des habitudes et des impulsions,607,63,"9,44",544,20,0
F64,Troubles de l'identité sexuelle,2 827,2 628,"2,83",199,20,0
F65,Troubles de la préférence sexuelle,19,1 à 10,NA,14,1 à 10,0
F66,Problèmes psychologiques et comportementaux associés au développement sexuel et à son orientation,43,1 à 10,NA,38,0,0
F68,Autres troubles de la personnalité et du comportement chez l'adulte,2 396,1 268,"12,32",1 128,715,0
F69,"Trouble de la personnalité et du comportement chez l'adulte, sans précision",1 268,480,"10,25",788,494,0
"",Total,12 987,6 978,"",6 009,"",0
