Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
F03,"Démence, sans précision",4 775,1 832,"13,87",2 943,473,0
F03+0,"Démence, sans précision, sans symptôme supplémentaire",1 343,659,"12,55",684,189,0
F03+00,"Démence légère, sans précision, sans symptôme supplémentaire",1 706,242,"10,98",1 464,39,0
F03+01,"Démence moyenne, sans précision, sans symptôme supplémentaire",3 020,895,"12,76",2 125,55,0
F03+02,"Démence sévère, sans précision, sans symptôme supplémentaire",3 006,1 815,"15,73",1 191,62,0
F03+1,"Démence, sans précision, avec symptômes essentiellement délirants",154,122,"18,77",32,12,0
F03+10,"Démence légère, sans précision, avec symptômes essentiellement délirants",53,33,"12,36",20,1 à 10,0
F03+11,"Démence moyenne, sans précision, avec symptômes essentiellement délirants",189,133,"15,72",56,1 à 10,0
F03+12,"Démence sévère, sans précision, avec symptômes essentiellement délirants",358,295,"18,70",63,12,0
F03+2,"Démence, sans précision, avec symptômes essentiellement hallucinatoires",183,143,"16,94",40,14,0
F03+20,"Démence légère, sans précision, avec symptômes essentiellement hallucinatoires",56,31,"12,10",25,1 à 10,0
F03+21,"Démence moyenne, sans précision, avec symptômes essentiellement hallucinatoires",159,105,"14,88",54,1 à 10,0
F03+22,"Démence sévère, sans précision, avec symptômes essentiellement hallucinatoires",292,233,"17,81",59,1 à 10,0
F03+3,"Démence, sans précision, avec symptômes essentiellement dépressifs",86,49,"16,16",37,1 à 10,0
F03+30,"Démence légère, sans précision, avec symptômes essentiellement dépressifs",181,35,"11,46",146,1 à 10,0
F03+31,"Démence moyenne, sans précision, avec symptômes essentiellement dépressifs",297,96,"15,50",201,1 à 10,0
F03+32,"Démence sévère, sans précision, avec symptômes essentiellement dépressifs",256,145,"16,34",111,1 à 10,0
F03+4,"Démence, sans précision, avec symptômes mixtes",228,122,"15,89",106,34,0
F03+40,"Démence légère, sans précision, avec symptômes mixtes",197,34,"14,68",163,1 à 10,0
F03+41,"Démence moyenne, sans précision, avec symptômes mixtes",512,227,"14,96",285,17,0
F03+42,"Démence sévère, sans précision, avec symptômes mixtes",896,594,"17,28",302,38,0
"",Total,17 947,7 840,"",10 107,"",0
