Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
O990,"Anémie compliquant la grossesse, l'accouchement et la puerpéralité",4 248,2 029,"3,70",2 219,21,0
O991,"Autres maladies du sang et des organes hématopoïétiques et certaines anomalies du système immunitaire compliquant la grossesse, l'accouchement et la puerpéralité",1 160,1 002,"4,66",158,1 à 10,0
O992,"Maladies endocriniennes, nutritionnelles et métaboliques compliquant la grossesse, l'accouchement et la puerpéralité",1 659,1 075,"4,11",584,1 à 10,0
O993,"Troubles mentaux et maladies du système nerveux compliquant la grossesse, l'accouchement et la puerpéralité",1 783,1 479,"5,23",304,30,0
O994,"Maladies de l'appareil circulatoire compliquant la grossesse, l'accouchement et la puerpéralité",748,532,"5,22",216,1 à 10,0
O995,"Maladies de l'appareil respiratoire compliquant la grossesse, l'accouchement et la puerpéralité",802,720,"3,47",82,0,0
O996,"Maladies de l'appareil digestif compliquant la grossesse, l'accouchement et la puerpéralité",1 027,902,"4,00",125,13,0
O997,"Maladies de la peau et du tissu cellulaire sous-cutané compliquant la grossesse, l'accouchement et la puerpéralité",131,95,"3,36",36,1 à 10,0
O998,"Autres maladies et affections précisées compliquant la grossesse, l'accouchement et la puerpéralité",3 761,2 964,"3,26",797,63,0
"",Total,15 319,10 798,"",4 521,"",0
