"Code","Libellé","Nb total de séjours/séances","Nb de séjourshors GHM en J ou T et séances","DMS (en nuitée)hors GHM en J ou Tet séances","Nb de séjoursGHM en J ou T hors séances","Nb de nuitéesen GHM J ou T","Nb de séances"
"110100000","Maladies de la cavité buccale, des glandes salivaires et des maxillaires","120 922","20 325","3,25","100 597","1 019","0"
"110200000","Maladies de l'oesophage, de l'estomac et du duodénum","170 237","60 367","4,95","109 870","11 416","0"
"110300000","Maladies de l'appendice","57 854","52 639","3,23","5 215","2 250","0"
"110400000","Hernies","133 996","56 408","3,82","77 588","2 578","0"
"110500000","Entérites et colites non infectieuses","46 896","23 176","6,95","23 720","4 450","0"
"110600000","Autres maladies de l'intestin","324 421","186 547","5,13","137 874","30 667","0"
"110700000","Maladies du péritoine","12 183","9 977","11,28","2 206","958","0"
"110800000","Maladies du foie","44 237","34 238","10,97","9 999","1 143","0"
"110900000","Maladies de la vésicule biliaire, des voies biliaires et du pancréas","186 465","129 360","6,49","57 105","18 665","0"
"111000000","Autres maladies de l'appareil digestif","31 977","20 948","8,19","11 029","5 485","0"
"","Total","1 129 188","593 985","","535 203","","0"
