Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
C920,Leucémie myéloblastique aigüe [LAM],6 222,5 629,"22,52",593,1 à 10,0
C921,Leucémie myéloïde chronique [LMC] ABL-BCR positif,418,290,"11,88",128,0,0
C922,"Leucémie myéloïde chronique atypique, ABL-BCR négatif",24,20,"16,00",1 à 10,0,0
C923,Sarcome myéloïde,52,43,"25,53",1 à 10,0,0
C924,Leucémie promyélocytaire aigüe [PML],191,185,"27,68",1 à 10,0,0
C925,Leucémie myélomonocytaire aiguë,239,219,"26,25",20,0,0
C927,Autres leucémies myéloïdes,77,62,"12,24",15,0,0
C928,Leucémie myéloïde aigüe avec dysplasie de plusieurs lignées cellulaires,68,66,"21,58",1 à 10,0,0
C929,"Leucémie myéloïde, sans précision",66,42,"8,52",24,0,0
"",Total,7 362,6 561,"",801,"",0
