Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
F440,Amnésie dissociative,29,1 à 10,NA,22,1 à 10,0
F441,Fugue dissociative,102,44,"12,89",58,39,0
F442,Stupeur dissociative,13,1 à 10,NA,1 à 10,1 à 10,0
F443,États de transe et de possession,20,1 à 10,NA,1 à 10,1 à 10,0
F444,Troubles moteurs dissociatifs,497,213,"6,64",284,58,0
F445,Convulsions dissociatives,582,312,"5,46",270,171,0
F446,Anesthésie dissociative et atteintes sensorielles,73,12,"4,83",61,1 à 10,0
F447,Trouble dissociatif [de conversion] mixte,41,18,"9,22",23,1 à 10,0
F448,Autres troubles dissociatifs [de conversion],318,159,"10,92",159,79,0
F4482,Troubles dissociatifs [de conversion] transitoires survenant dans l'enfance ou dans l'adolescence,35,23,"4,91",12,1 à 10,0
F4488,Autres troubles dissociatifs [de conversion] spécifiés,164,96,"10,42",68,35,0
F449,"Trouble dissociatif [de conversion], sans précision",159,69,"6,10",90,50,0
"",Total,2 039,971,"",1 068,"",0
