"Code","Libellé","Nb total de séjours/séances","Nb de séjourshors GHM en J ou T et séances","DMS (en nuitée)hors GHM en J ou Tet séances","Nb de séjoursGHM en J ou T hors séances","Nb de nuitéesen GHM J ou T","Nb de séances"
"K430","Éventration post-opératoire, avec occlusion sans gangrène","2 442","2 207","7,51","235","100","0"
"K431","Éventration post-opératoire, avec gangrène","206","197","11,73","1 à 10","1 à 10","0"
"K432","Éventration post-opératoire, sans occlusion ni gangrène","14 396","11 239","4,64","3 157","199","0"
"K433","Hernie péristomiale, avec occlusion sans gangrène","286","249","9,79","37","26","0"
"K434","Hernie péristomiale, avec gangrène","18","17","15,59","1 à 10","1 à 10","0"
"K435","Hernie péristomiale, sans occlusion ni gangrène","349","305","6,77","44","16","0"
"K436","Hernie de la paroi abdominale antérieure autre et non précisée, avec occlusion sans gangrène","942","713","4,91","229","56","0"
"K437","Hernie de la paroi abdominale antérieure autre et non précisée, avec gangrène","63","54","8,04","1 à 10","1 à 10","0"
"K439","Hernie de la paroi abdominale antérieure autre et non précisée, sans occlusion ni gangrène","6 580","2 735","3,32","3 845","106","0"
"","Total","25 282","17 716","","7 566","","0"
