"Code","Libellé","Nb total de séjours/séances","Nb de séjourshors GHM en J ou T et séances","DMS (en nuitée)hors GHM en J ou Tet séances","Nb de séjoursGHM en J ou T hors séances","Nb de nuitéesen GHM J ou T","Nb de séances"
"Q10","Malformations congénitales des paupières, de l'appareil lacrymal et de l'orbite","763","70","2,33","693","0","0"
"Q11","Anophtalmie, microphtalmie et macrophtalmie","38","1 à 10","NA","32","0","0"
"Q12","Malformations congénitales du cristallin","718","208","1,53","510","0","0"
"Q13","Malformations congénitales de la chambre antérieure de l'oeil","115","18","1,61","97","0","0"
"Q14","Malformations congénitales de la chambre postérieure de l'oeil","92","22","1,77","70","0","0"
"Q15","Autres malformations congénitales de l'oeil","609","135","1,86","474","0","0"
"Q16","Malformations congénitales de l'oreille avec atteinte de l'audition","192","101","2,77","91","0","0"
"Q17","Autres malformations congénitales de l'oreille","3 364","458","1,35","2 906","0","0"
"Q18","Autres malformations congénitales de la face et du cou","2 525","1 005","2,15","1 520","29","0"
"","Total","8 416","2 023","","6 393","","0"
