"Code","Libellé","Nb total de séjours/séances","Nb de séjourshors GHM en J ou T et séances","DMS (en nuitée)hors GHM en J ou Tet séances","Nb de séjoursGHM en J ou T hors séances","Nb de nuitéesen GHM J ou T","Nb de séances"
"N031","Syndrome néphritique chronique avec lésions glomérulaires segmentaires et focales","20","20","4,65","0","0","0"
"N0310","Syndrome néphritique chronique avec lésions glomérulaires segmentaires et focales, avec dépôts d'Ig A","99","90","3,83","1 à 10","0","0"
"N0319","Syndrome néphritique chronique avec lésions glomérulaires segmentaires et focales, autres et sans précision","38","37","4,89","1 à 10","0","0"
"N032","Syndrome néphritique chronique avec glomérulonéphrite membraneuse diffuse","64","50","5,26","14","0","0"
"N0330","Syndrome néphritique chronique avec glomérulonéphrite proliférative mésangiale diffuse, avec dépôts d'Ig A","114","105","3,52","1 à 10","0","0"
"N034","Syndrome néphritique chronique avec glomérulonéphrite proliférative endocapillaire diffuse","11","1 à 10","NA","1 à 10","0","0"
"N035","Syndrome néphritique chronique avec glomérulonéphrite mésangiocapillaire diffuse","44","41","8,32","1 à 10","0","0"
"N036","Syndrome néphritique chronique avec maladie à dépôt dense","18","18","4,50","0","0","0"
"N038","Syndromes néphritiques chroniques avec autres lésions morphologiques","13","12","3,25","1 à 10","0","0"
"N0380","Syndrome néphritique chronique avec autres lésions, avec dépôts d'Ig A","63","60","4,52","1 à 10","0","0"
"N0389","Syndrome néphritique chronique avec autres lésions morphologiques, autres et sans précision","31","30","4,10","1 à 10","0","0"
"N039","Syndrome néphritique chronique, sans précision","55","52","4,79","1 à 10","0","0"
"","Total","590","541","","49","","0"
