Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
R70,Accélération de la vitesse de sédimentation et anomalies de la viscosité plasmatique,1 469,896,"6,84",573,247,0
R71,Anomalies des globules rouges,466,11,"1,45",455,0,0
R72,"Anomalies des globules blancs, non classées ailleurs",51,17,"4,12",34,0,0
R73,Augmentation de la glycémie,2 008,1 345,"2,38",663,0,0
R74,Anomalies des taux d'enzymes sériques,2 242,624,"4,29",1 618,417,0
R76,Autres anomalies de résultats immunologiques sériques,328,77,"3,27",251,0,0
R77,Autres anomalies des protéines plasmatiques,2 007,204,"4,08",1 803,173,0
R78,Présence de drogues et d'autres substances non trouvées normalement dans le sang,611,601,"0,75",1 à 10,1 à 10,0
R79,Autres résultats anormaux des examens chimiques du sang,1 975,485,"4,56",1 490,649,0
"",Total,11 161,4 260,"",6 901,"",0
