Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
R10,Douleur abdominale et pelvienne,114 868,18 279,"3,39",96 589,35 819,0
R11,Nausées et vomissements,20 896,5 145,"4,29",15 751,9 305,0
R12,Pyrosis,1 493,170,"1,07",1 323,99,0
R13,Dysphagie,9 330,2 591,"5,63",6 739,1 512,0
R14,Flatulence et troubles apparentés,377,61,"2,70",316,43,0
R15,Incontinence des matières fécales,503,124,"4,54",379,47,0
R16,"Hépatomégalie et splénomégalie, non classées ailleurs",464,274,"3,77",190,0,0
R17,"Hyperbilirubinémie, avec ou sans ictère, non classée ailleurs",1 260,1 041,"3,78",219,0,0
R18,Ascite,46 338,5 371,"5,24",40 967,0,0
R19,Autres symptômes et signes relatifs à l'appareil digestif et à l'abdomen,9 789,1 931,"2,07",7 858,794,0
"",Total,205 318,34 987,"",170 331,"",0
