Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
O0400,"Interruption médicale volontaire de grossesse [IVG dans le cadre légal], incomplet, compliqué d'une infection de l'appareil génital et des organes pelviens",69,32,"2,91",37,1 à 10,0
O0401,"Interruption médicale de grossesse [IMG] [ITG] pour cause embryonnaire ou foetale, incomplet, compliqué d'une infection de l'appareil génital et des organes pelviens",174,106,"1,77",68,18,0
O0403,"Interruption médicale de grossesse [IMG] [ITG] pour association de causes foetale et maternelle, incomplet, compliqué d'une infection de l'appareil génital et des organes pelviens",53,21,"1,76",32,1 à 10,0
O0410,"Interruption médicale volontaire de grossesse [IVG dans le cadre légal], incomplet, compliqué d'une hémorragie retardée ou sévère",1 089,602,"1,33",487,111,0
O0411,"Interruption médicale de grossesse [IMG] [ITG] pour cause embryonnaire ou foetale, incomplet, compliqué d'une hémorragie retardée ou sévère",84,62,"1,97",22,1 à 10,0
O0413,"Interruption médicale de grossesse [IMG] [ITG] pour association de causes foetale et maternelle, incomplet, compliqué d'une hémorragie retardée ou sévère",13,1 à 10,NA,1 à 10,1 à 10,0
O0430,"Interruption médicale volontaire de grossesse [IVG dans le cadre légal], incomplet, avec complications autres et non précisées",194,46,"1,46",148,18,0
O0431,"Interruption médicale de grossesse [IMG] [ITG] pour cause embryonnaire ou foetale, incomplet, avec complications autres et non précisées",59,35,"2,00",24,0,0
O0440,"Interruption médicale volontaire de grossesse [IVG dans le cadre légal], incomplet, sans complication",3 365,488,"1,32",2 877,68,0
O0441,"Interruption médicale de grossesse [IMG] [ITG] pour cause embryonnaire ou foetale, incomplet, sans complication",469,280,"1,85",189,32,0
O0442,"Interruption médicale de grossesse [IMG] [ITG] pour cause maternelle, incomplet, sans complication",43,24,"3,83",19,1 à 10,0
O0443,"Interruption médicale de grossesse [IMG] [ITG] pour association de causes foetale et maternelle, incomplet, sans complication",11,1 à 10,NA,1 à 10,0,0
O0452,"Interruption médicale de grossesse [IMG] [ITG] pour cause maternelle, complet ou sans précision, compliqué d'une infection de l'appareil génital et des organes pelviens",11,11,"5,18",0,0,0
O0460,"Interruption médicale volontaire de grossesse [IVG dans le cadre légal], complet ou sans précision, compliqué d'une hémorragie retardée ou sévère",387,147,"1,30",240,40,0
O0461,"Interruption médicale de grossesse [IMG] [ITG] pour cause embryonnaire ou foetale, complet ou sans précision, compliqué d'une hémorragie retardée ou sévère",73,60,"2,43",13,1 à 10,0
O0480,"Interruption médicale volontaire de grossesse [IVG dans le cadre légal], complet ou sans précision, avec complications autres et non précisées",121,37,"2,68",84,16,0
O0481,"Interruption médicale de grossesse [IMG] [ITG] pour cause embryonnaire ou foetale, complet ou sans précision, avec complications autres et non précisées",43,25,"2,40",18,1 à 10,0
O0490,"Interruption médicale volontaire de grossesse [IVG dans le cadre légal], complet ou sans précision, sans complication",134 873,134 872,"0,03",1 à 10,1 à 10,0
O0491,"Interruption médicale de grossesse [IMG] [ITG] pour cause embryonnaire ou foetale, complet ou sans précision, sans complication",3 189,1 698,"1,87",1 491,164,0
O0492,"Interruption médicale de grossesse [IMG] [ITG] pour cause maternelle, complet ou sans précision, sans complication",237,150,"3,73",87,1 à 10,0
O0493,"Interruption médicale de grossesse [IMG] [ITG] pour association de causes foetale et maternelle, complet ou sans précision, sans complication",86,54,"3,24",32,1 à 10,0
"",Total,144 701,138 813,"",5 888,"",0
