Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
F450,Somatisation,576,479,"4,45",97,0,0
F451,Trouble somatoforme indifférencié,316,257,"3,35",59,0,0
F452,Trouble hypocondriaque,35,22,"9,55",13,1 à 10,0
F453,Dysfontionnement neurovégétatif somatoforme,88,63,"4,25",25,0,0
F4530,Dysfonctionnement neurovégétatif d'expression circulatoire,14,1 à 10,NA,1 à 10,0,0
F4531,Dysfonctionnement neurovégétatif d'expression oesogastrique,14,12,"9,58",1 à 10,0,0
F4532,Dysfonctionnement neurovégétatif d'expression intestinale,12,11,"8,27",1 à 10,0,0
F4533,Dysfonctionnement neurovégétatif d'expression respiratoire,33,11,"5,00",22,0,0
F4538,Dysfonctionnement neurovégétatif d'expression autre,52,42,"4,93",1 à 10,0,0
F454,Syndrome douloureux somatoforme persistant,369,205,"6,59",164,46,0
F458,Autres troubles somatoformes,879,401,"5,70",478,147,0
F459,"Trouble somatoforme, sans précision",416,164,"5,45",252,114,0
"",Total,2 813,1 683,"",1 130,"",0
