Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
140100000,Glomérulopathies,10 402,9 227,"6,33",1 175,0,0
140200000,Maladies rénales tubulo-interstitielles,113 987,97 480,"6,23",16 507,1 659,0
140300000,Insuffisance rénale,57 549,40 568,"10,80",16 981,5 367,0
140400000,Lithiases urinaires,95 935,30 834,"2,60",65 101,12 586,0
140500000,Autres affection su rein et de l'uretère,4 444,3 466,"5,60",978,13,0
140600000,Autres maladies de l'appareil urinaire,85 150,60 039,"6,73",25 111,82,0
140700000,Maladies des organe génitaux de l'homme,106 429,61 845,"5,92",44 584,5 264,0
140800000,Affection du sein,15 647,11 418,"1,79",4 229,904,0
140900000,Affections inflammatoires des organes pelviens de la femme,19 184,12 215,"3,43",6 969,708,0
141000000,Affections non inflammatoires de l'appareil génital de la femme,128 783,79 978,"1,18",48 805,5 027,0
141100000,Autres affections de l'appareil génito-urinaire,2 225,1 572,"5,19",653,27,0
"",Total,639 735,408 642,"",231 093,"",0
