Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
O340,Soins maternels pour malformation congénitale de l'utérus,76,68,"4,71",1 à 10,0,0
O341,Soins maternels pour tumeur du corps de l'utérus,451,434,"4,35",17,1 à 10,0
O342,Soins maternels pour cicatrice utérine due à une intervention chirurgicale antérieure,24 346,24 165,"4,76",181,1 à 10,0
O343,Soins maternels pour béance du col,2 163,930,"3,05",1 233,1 à 10,0
O344,Soins maternels pour d'autres anomalies du col,188,147,"4,33",41,1 à 10,0
O345,Soins maternels pour d'autres anomalies de l'utérus gravide,110,103,"4,19",1 à 10,0,0
O346,Soins maternels pour anomalies du vagin,44,43,"4,91",1 à 10,1 à 10,0
O347,Soins maternels pour anomalies de la vulve et du périnée,331,324,"4,40",1 à 10,1 à 10,0
O348,Soins maternels pour d'autres anomalies des organes pelviens,279,237,"4,34",42,18,0
"",Total,27 992,26 455,"",1 537,"",0
