Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
S6200,Fracture fermée de l'os scaphoïde de la main,1 195,498,"2,03",697,0,0
S6201,Fracture ouverte de l'os scaphoïde de la main,25,12,"7,50",13,0,0
S6210,Fracture fermée d'autre(s) os du carpe,377,263,"1,64",114,0,0
S6211,Fracture ouverte d'autre(s) os du carpe,19,16,"1,06",1 à 10,0,0
S6220,Fracture fermée du premier métacarpien,1 109,353,"1,83",756,0,0
S6221,Fracture ouverte du premier métacarpien,47,28,"2,21",19,0,0
S6230,Fracture fermée d'un autre os du métacarpe,5 281,1 476,"1,61",3 805,0,0
S6231,Fracture ouverte d'un autre os du métacarpe,281,146,"1,79",135,0,0
S6240,Fractures fermées multiples des métacarpiens,753,292,"2,13",461,0,0
S6241,Fractures ouvertes multiples des métacarpiens,64,51,"4,18",13,0,0
S6250,Fracture fermée du pouce,693,336,"1,67",357,0,0
S6251,Fracture ouverte du pouce,464,282,"1,41",182,0,0
S6260,Fracture fermée d'un autre doigt,3 797,1 377,"1,36",2 420,0,0
S6261,Fracture ouverte d'un autre doigt,2 335,1 272,"1,24",1 063,0,0
S6270,Fractures fermées multiples de doigts,255,145,"1,11",110,0,0
S6271,Fractures ouvertes multiples de doigts,233,185,"1,33",48,0,0
S6280,Fracture fermée de parties autres et non précisées du poignet et de la main,2 355,1 891,"2,38",464,0,0
S6281,Fracture ouverte de parties autres et non précisées du poignet et de la main,144,127,"3,51",17,0,0
"",Total,19 427,8 750,"",10 677,"",0
