Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
S660,Lésion traumatique du muscle et du tendon longs fléchisseurs du pouce au niveau du poignet et de la main,498,168,"1,62",330,1 à 10,0
S661,Lésion traumatique du muscle et du tendon fléchisseurs d'un autre doigt au niveau du poignet et de la main,2 502,767,"1,87",1 735,36,0
S662,Lésion traumatique du muscle et du tendon extenseurs du pouce au niveau du poignet et de la main,1 490,301,"1,70",1 189,1 à 10,0
S663,Lésion traumatique du muscle et du tendon extenseurs d'un autre doigt au niveau du poignet et de la main,5 615,933,"1,61",4 682,34,0
S664,Lésion traumatique de muscles et de tendons intrinsèques du pouce au niveau du poignet et de la main,79,16,"1,56",63,0,0
S665,Lésion traumatique de muscles et de tendons intrinsèques d'un autre doigt au niveau du poignet et de la main,27,1 à 10,NA,20,1 à 10,0
S666,Lésion traumatique de multiples muscles et tendons fléchisseurs au niveau du poignet et de la main,439,185,"2,36",254,1 à 10,0
S667,Lésion traumatique de multiples muscles et tendons extenseurs au niveau du poignet et de la main,363,119,"2,45",244,1 à 10,0
S668,Lésion traumatique d'autres muscles et tendons au niveau du poignet et de la main,628,139,"1,93",489,19,0
S669,"Lésion traumatique d'un muscle et d'un tendon non précisés, au niveau du poignet et de la main",44,1 à 10,NA,37,1 à 10,0
"",Total,11 685,2 642,"",9 043,"",0
