Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
S4200,Fracture fermée de la clavicule,6 512,3 457,"4,80",3 055,906,0
S4201,Fracture ouverte de la clavicule,76,46,"4,04",30,1 à 10,0
S4210,Fracture fermée de l'omoplate,809,456,"7,72",353,185,0
S4220,Fracture fermée de l'extrémité supérieure de l'humérus,19 317,14 368,"6,81",4 949,2 837,0
S4221,Fracture ouverte de l'extrémité supérieure de l'humérus,179,117,"7,54",62,40,0
S4230,Fracture fermée de la diaphyse de l'humérus,6 616,5 629,"5,39",987,493,0
S4231,Fracture ouverte de la diaphyse de l'humérus,198,188,"9,07",1 à 10,1 à 10,0
S4240,Fracture fermée de l'extrémité inférieure de l'humérus,7 873,6 529,"2,86",1 344,293,0
S4241,Fracture ouverte de l'extrémité inférieure de l'humérus,401,374,"6,11",27,1 à 10,0
S4270,"Fractures fermées multiples de la clavicule, de l'omoplate et de l'humérus",185,111,"5,65",74,44,0
S4280,Fracture fermée d'autres parties de l'épaule et du bras,534,275,"6,54",259,138,0
S4290,"Fracture fermée de la ceinture scapulaire, partie non précisée",369,99,"4,75",270,129,0
"",Total,43 085,31 660,"",11 425,"",0
