Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
T850,Complication mécanique d'un shunt ventriculaire intracrânien (communication),615,560,"8,42",55,28,0
T851,Complication mécanique de l'implantation d'un stimulateur électronique du système nerveux,220,163,"4,88",57,12,0
T852,Complication mécanique d'une lentille intra-oculaire,1 203,183,"1,38",1 020,0,0
T853,"Complication mécanique d'autres prothèses, implants et greffes oculaires",1 515,416,"1,58",1 099,0,0
T854,Complication mécanique d'une prothèse et d'un implant mammaires,936,904,"1,59",32,11,0
T8550,Complication mécanique due à un dispositif implantable périgastrique de gastroplastie pour obésité,401,342,"1,90",59,21,0
T8558,"Complication mécanique due à d'autres prothèses, implants et greffes gastro-intestinaux",2 196,1 304,"7,40",892,412,0
T856,"Complication mécanique d'autres prothèses, implants et greffes internes précisés",1 442,562,"5,96",880,177,0
T857,"Infection et réaction inflammatoire dues à d'autres prothèses, implants et greffes internes",3 238,2 669,"10,62",569,171,0
"",Total,11 766,7 103,"",4 663,"",0
