Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
H020,Entropion et trichiasis de la paupière,2 180,89,"1,30",2 091,0,0
H021,Ectropion palpébral,2 630,194,"1,38",2 436,0,0
H022,Lagophtalmie,155,20,"1,85",135,0,0
H023,Blépharochalasis,2 317,65,"1,65",2 252,0,0
H024,Ptosis de la paupière,4 170,379,"2,45",3 791,0,0
H025,Autres troubles affectant la fonction palpébrale,285,43,"1,81",242,0,0
H026,Xanthélasma de la paupière,240,1 à 10,NA,233,0,0
H027,Autres affections dégénératives des paupières et de la région périoculaire,19,1 à 10,NA,18,0,0
H028,Autres affections précisées des paupières,1 501,137,"2,45",1 364,0,0
H029,"Affection des paupières, sans précision",65,1 à 10,NA,58,0,0
"",Total,13 562,942,"",12 620,"",0
