Code,Libellé,Nb total de séjours/séances,Nb de séjourshors GHM en J ou T et séances,DMS (en nuitée)hors GHM en J ou Tet séances,Nb de séjoursGHM en J ou T hors séances,Nb de nuitéesen GHM J ou T,Nb de séances
B35,Dermatophytose,227,91,"4,33",136,0,0
B36,Autres mycoses superficielles,219,155,"5,13",64,0,0
B37,Candidose,1 951,1 629,"11,61",322,50,0
B39,Histoplasmose,44,35,"22,43",1 à 10,1 à 10,0
B44,Aspergillose,1 682,1 162,"11,42",520,40,0
B45,Cryptococcose,120,107,"18,59",13,1 à 10,0
B46,Zygomycose,68,63,"23,10",1 à 10,1 à 10,0
B47,Mycétome,14,1 à 10,NA,1 à 10,0,0
B48,"Autres mycoses, non classées ailleurs",601,539,"16,10",62,23,0
"",Total,4 937,3 796,"",1 141,"",0
